t_s,power.draw,power.limit,temperature.gpu,utilization.gpu,clocks.sm,clocks.mem,clocks_throttle_reasons.active,pcie.link.gen.current,memory.used
172.7,50.13,250.00,36,66,2917,13801,0x0000000000000000,5,1145
174.7,50.13,250.00,36,66,2917,13801,0x0000000000000000,5,1145
176.7,50.27,250.00,36,64,2917,13801,0x0000000000000000,5,1145
178.7,50.15,250.00,36,64,2917,13801,0x0000000000000000,5,1145
180.7,50.04,250.00,36,66,2917,13801,0x0000000000000000,5,1145
182.7,50.35,250.00,36,66,2917,13801,0x0000000000000000,5,1145
184.7,50.25,250.00,36,65,2917,13801,0x0000000000000000,5,1145
186.7,50.05,250.00,36,66,2917,13801,0x0000000000000000,5,1145
188.7,50.17,250.00,36,65,2917,13801,0x0000000000000000,5,1145
190.8,50.28,250.00,36,64,2917,13801,0x0000000000000000,5,1145
192.8,50.15,250.00,36,66,2917,13801,0x0000000000000000,5,1145
194.8,50.20,250.00,36,65,2917,13801,0x0000000000000000,5,1145
196.8,50.12,250.00,36,64,2917,13801,0x0000000000000000,5,1145
198.8,50.27,250.00,36,66,2917,13801,0x0000000000000000,5,1145
200.8,50.13,250.00,36,64,2917,13801,0x0000000000000000,5,1145
202.8,50.44,250.00,36,64,2917,13801,0x0000000000000000,5,1145
204.8,50.18,250.00,36,66,2917,13801,0x0000000000000000,5,1145
206.8,50.21,250.00,36,66,2917,13801,0x0000000000000000,5,1145
208.8,50.28,250.00,36,65,2917,13801,0x0000000000000000,5,1145
210.8,49.96,250.00,36,65,2917,13801,0x0000000000000000,5,1145
212.8,50.13,250.00,36,66,2917,13801,0x0000000000000000,5,1145
214.8,50.15,250.00,36,66,2917,13801,0x0000000000000000,5,1145
216.8,50.17,250.00,36,64,2917,13801,0x0000000000000000,5,1145
218.8,50.16,250.00,36,64,2917,13801,0x0000000000000000,5,1145
220.8,50.17,250.00,36,64,2917,13801,0x0000000000000000,5,1145
222.8,50.09,250.00,36,66,2917,13801,0x0000000000000000,5,1145
224.8,50.16,250.00,36,66,2917,13801,0x0000000000000000,5,1145
226.8,50.25,250.00,36,66,2917,13801,0x0000000000000000,5,1145
228.8,50.15,250.00,36,64,2917,13801,0x0000000000000000,5,1145
230.9,49.96,250.00,36,65,2917,13801,0x0000000000000000,5,1145
232.9,50.11,250.00,36,64,2917,13801,0x0000000000000000,5,1145
234.9,50.18,250.00,36,64,2917,13801,0x0000000000000000,5,1143
236.9,50.06,250.00,35,65,2917,13801,0x0000000000000000,5,1143
238.9,50.10,250.00,36,66,2917,13801,0x0000000000000000,5,1143
240.9,49.93,250.00,35,64,2917,13801,0x0000000000000000,5,1143
242.9,50.04,250.00,36,66,2917,13801,0x0000000000000000,5,1143
244.9,50.19,250.00,35,66,2917,13801,0x0000000000000000,5,1143
246.9,50.19,250.00,35,63,2917,13801,0x0000000000000000,5,1143
248.9,50.32,250.00,35,65,2917,13801,0x0000000000000000,5,1143
250.9,50.11,250.00,35,64,2917,13801,0x0000000000000000,5,1143
252.9,50.40,250.00,35,64,2917,13801,0x0000000000000000,5,1143
254.9,50.21,250.00,35,65,2917,13801,0x0000000000000000,5,1143
256.9,50.23,250.00,35,66,2917,13801,0x0000000000000000,5,1143
258.9,50.30,250.00,35,65,2917,13801,0x0000000000000000,5,1143
260.9,50.13,250.00,35,66,2917,13801,0x0000000000000000,5,1143
262.9,50.14,250.00,35,65,2917,13801,0x0000000000000000,5,1143
264.9,50.30,250.00,35,63,2917,13801,0x0000000000000000,5,1143
267.0,50.35,250.00,35,65,2917,13801,0x0000000000000000,5,1143
269.0,50.22,250.00,35,66,2917,13801,0x0000000000000000,5,1143
271.0,50.13,250.00,35,64,2917,13801,0x0000000000000000,5,1143
273.0,50.31,250.00,35,64,2917,13801,0x0000000000000000,5,1143
275.0,50.28,250.00,35,64,2917,13801,0x0000000000000000,5,1143
277.0,50.34,250.00,35,66,2917,13801,0x0000000000000000,5,1143
279.0,50.38,250.00,35,66,2917,13801,0x0000000000000000,5,1143
281.0,50.25,250.00,35,65,2917,13801,0x0000000000000000,5,1143
283.0,50.37,250.00,35,64,2917,13801,0x0000000000000000,5,1143
285.0,50.56,250.00,35,64,2917,13801,0x0000000000000000,5,1143
287.0,50.23,250.00,35,64,2917,13801,0x0000000000000000,5,1143
289.0,50.38,250.00,35,64,2917,13801,0x0000000000000000,5,1143
291.0,50.13,250.00,35,66,2917,13801,0x0000000000000000,5,1143
293.0,50.23,250.00,35,66,2917,13801,0x0000000000000000,5,1143
295.0,50.27,250.00,35,66,2917,13801,0x0000000000000000,5,1143
297.0,50.28,250.00,35,65,2917,13801,0x0000000000000000,5,1143
299.0,50.15,250.00,35,65,2917,13801,0x0000000000000000,5,1143
301.0,50.08,250.00,35,64,2917,13801,0x0000000000000000,5,1143
303.0,50.00,250.00,35,65,2917,13801,0x0000000000000000,5,1143
305.0,50.13,250.00,35,66,2917,13801,0x0000000000000000,5,1143
307.0,50.21,250.00,35,66,2917,13801,0x0000000000000000,5,1143
309.0,50.30,250.00,35,66,2917,13801,0x0000000000000000,5,1143
311.0,50.19,250.00,35,64,2917,13801,0x0000000000000000,5,1143
313.0,50.20,250.00,35,64,2917,13801,0x0000000000000000,5,1143
315.0,50.37,250.00,35,65,2917,13801,0x0000000000000000,5,1143
317.0,50.28,250.00,35,66,2917,13801,0x0000000000000000,5,1143
319.0,50.13,250.00,35,66,2917,13801,0x0000000000000000,5,1143
321.0,50.13,250.00,35,64,2917,13801,0x0000000000000000,5,1143
323.0,50.13,250.00,35,64,2917,13801,0x0000000000000000,5,1143
325.0,50.14,250.00,35,65,2917,13801,0x0000000000000000,5,1143
327.0,50.16,250.00,35,65,2917,13801,0x0000000000000000,5,1143
329.0,50.25,250.00,35,66,2917,13801,0x0000000000000000,5,1143
331.1,50.42,250.00,35,65,2917,13801,0x0000000000000000,5,1143
333.1,50.42,250.00,35,64,2917,13801,0x0000000000000000,5,1143
335.1,50.24,250.00,35,64,2917,13801,0x0000000000000000,5,1143
337.1,50.25,250.00,35,66,2917,13801,0x0000000000000000,5,1143
339.1,50.23,250.00,35,66,2917,13801,0x0000000000000000,5,1143
341.1,50.29,250.00,35,62,2917,13801,0x0000000000000000,5,1143
343.1,49.96,250.00,35,64,2917,13801,0x0000000000000000,5,1143
345.1,49.99,250.00,35,64,2917,13801,0x0000000000000000,5,1143
347.1,50.04,250.00,35,64,2917,13801,0x0000000000000000,5,1143
349.1,50.15,250.00,35,64,2917,13801,0x0000000000000000,5,1143
351.1,50.05,250.00,35,61,2917,13801,0x0000000000000000,5,1143
353.1,50.04,250.00,35,66,2917,13801,0x0000000000000000,5,1143
355.1,50.14,250.00,35,66,2917,13801,0x0000000000000000,5,1143
357.1,50.05,250.00,35,65,2917,13801,0x0000000000000000,5,1143
359.1,49.96,250.00,35,64,2917,13801,0x0000000000000000,5,1143
361.1,49.66,250.00,35,61,2917,13801,0x0000000000000000,5,1143
363.1,49.97,250.00,35,66,2917,13801,0x0000000000000000,5,1143
365.1,50.11,250.00,35,66,2917,13801,0x0000000000000000,5,1143
367.1,50.09,250.00,35,65,2917,13801,0x0000000000000000,5,1143
369.1,50.11,250.00,35,64,2917,13801,0x0000000000000000,5,1143
371.1,50.32,250.00,35,61,2917,13801,0x0000000000000000,5,1143
373.1,50.32,250.00,35,66,2917,13801,0x0000000000000000,5,1145
375.1,50.19,250.00,35,66,2917,13801,0x0000000000000000,5,1145
377.1,50.20,250.00,35,66,2917,13801,0x0000000000000000,5,1145
379.1,50.34,250.00,35,65,2917,13801,0x0000000000000000,5,1145
381.1,50.34,250.00,35,61,2917,13801,0x0000000000000000,5,1145
383.1,50.29,250.00,35,66,2917,13801,0x0000000000000000,5,1145
385.2,50.24,250.00,35,66,2917,13801,0x0000000000000000,5,1145
387.2,50.28,250.00,35,66,2917,13801,0x0000000000000000,5,1145
389.2,50.27,250.00,35,65,2917,13801,0x0000000000000000,5,1145
391.2,50.23,250.00,35,65,2917,13801,0x0000000000000000,5,1145
393.2,50.25,250.00,35,65,2917,13801,0x0000000000000000,5,1145
395.2,50.18,250.00,35,66,2917,13801,0x0000000000000000,5,1145
397.2,50.38,250.00,35,64,2917,13801,0x0000000000000000,5,1145
399.2,50.31,250.00,35,65,2917,13801,0x0000000000000000,5,1145
401.2,50.12,250.00,35,66,2917,13801,0x0000000000000000,5,1145
403.2,50.28,250.00,35,66,2917,13801,0x0000000000000000,5,1145
405.2,50.31,250.00,35,65,2917,13801,0x0000000000000000,5,1145
407.2,50.27,250.00,35,63,2917,13801,0x0000000000000000,5,1145
